Month,Albd,AirTemp,LSTday,LSTNight,PCP,WS,RH,SW,LW,SH,LH,SCA% 
6/1/2011,0.192711883,15.47600022,31.34105528,14.38397575,67.60406193,0.622981335,44.53809497,259.1399874,-112.2583529,-54.55131115,-72.19751922,9.084409578
7/1/2011,0.163250188,16.91160898,29.34305276,14.72493729,101.3011612,0.548329981,52.07947236,236.9544441,-101.1930186,-54.50756369,-71.65397727,1.043060046
8/1/2011,0.159032616,16.88765313,26.21737018,13.94609532,123.7669986,0.468832394,56.0892603,208.2801884,-90.23337822,-44.81429412,-67.79367091,0.690639886
9/1/2011,0.153317111,13.32229851,24.99076214,11.23093645,78.34963762,0.299106417,54.62945075,189.5627518,-92.88443752,-37.74995576,-59.99511989,1.409384706
10/1/2011,0.210375806,6.863702028,18.75120045,5.428851728,60.20875972,0.466486876,49.27564154,156.0156487,-91.46684724,-28.43348135,-41.23092895,11.85642313
11/1/2011,0.330124186,1.724075403,12.96237018,2.020915552,52.09715854,0.837167162,48.02038559,101.4261034,-71.33275075,-14.63145914,-20.8596577,30.69512866
12/1/2011,0.399571794,-5.254154062,6.722688442,-4.218904682,23.94655859,1.039774027,39.47813585,85.87494606,-76.31633467,-11.64021115,-8.048332645,43.48891813
1/1/2012,0.720252338,-11.01416498,-1.188655779,-9.756642977,85.31572127,1.116601839,56.52252094,41.62685444,-45.44202345,-1.182323649,-2.308193322,89.25680334
2/1/2012,0.786682183,-8.937691634,-0.792939698,-10.38726589,145.285598,0.990712637,58.88804891,39.02886097,-40.07441323,0.074180578,-2.280934728,97.89766418
3/1/2012,0.685395964,-2.848099124,10.36219012,-1.727044314,135.8995291,0.91033175,55.00112613,76.15113903,-53.37478894,-4.293177033,-10.72678711,88.8652641
4/1/2012,0.433457534,3.769868047,19.13706449,3.96909699,115.081198,0.667420247,62.23815578,149.2199678,-69.13822529,-21.42281902,-37.33846641,53.09756605
5/1/2012,0.306413579,8.511688932,24.48813512,8.931649944,78.32912218,0.692044369,56.63013417,212.9522089,-89.06895025,-33.24541818,-69.36622908,30.60540281
6/1/2012,0.214951843,13.05850401,30.50470687,12.93794314,53.8497628,0.656996377,56.28468693,245.9849405,-101.373499,-45.30604871,-78.52861264,14.31465238
7/1/2012,0.167763449,16.96990926,30.95532245,15.47487876,81.11647343,0.522571909,52.38783032,246.4903916,-103.961506,-51.66473554,-77.8355749,2.411281786
8/1/2012,0.15835171,16.71253117,27.99589196,14.12101171,120.6398597,0.451918463,59.31858191,208.0746466,-89.99191206,-45.68687429,-66.79007451,0.593642615
9/1/2012,0.161090639,12.38977136,23.12610972,10.2526087,112.8201894,0.266355181,59.49287404,177.5158044,-84.67389229,-33.88085871,-60.92549535,2.683056811
10/1/2012,0.210608394,5.366204106,17.85509631,4.457169732,39.41855069,0.465849161,48.01241776,159.2548015,-96.0434392,-29.6437029,-38.29318447,11.97352739
